,Region,Categoria,Marca,Segmento,Quincena,MES,AÑO,VSIGV
2343,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2,2021,368919.828
2344,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,6,2019,10510.1851
2345,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,1,2020,83268.405
2346,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,3,2021,824476.3924
2347,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,9,2018,16045.974
2348,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,10,2018,2778893.1781
2349,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,3,2020,4310.5366
2350,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,4,2021,953.9408
2351,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,7,2019,15227.6918
2352,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2,2020,128829.9294
2353,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,12,2018,235448.8525
2354,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,3,2018,392275.2216
2355,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,4,2020,30093.2515
2356,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,4,2019,1651627.222
2357,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,1,2019,522277.777
2358,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2,2020,10206.9622
2359,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,1,2021,5964.7456
2360,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2,2020,1560817.7334
2361,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,5,2020,12239171.6538
2362,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,6,2020,459856.7488
2363,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,8,2018,2042202.7306
2364,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,10,2018,122123.4044
2365,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,8,2019,3533434.6311
2366,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,5,2019,282723.0544
2367,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,5,2020,4856.4486
2368,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,11,2019,17928.1539
2369,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,8,2018,2038764.939
2370,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,1,2020,79527.2766
2371,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,1,2020,1609327.1529
2372,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,1,11,2020,27065.929
2373,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,4,2021,300763.8054
2374,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,8,2020,571539.5011
2375,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,1,2,2018,1260558.7251
2376,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,8,2018,17050425.2878
2377,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2,2019,963383.0925
2378,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,12,2017,31190.3
2379,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,9,2018,312765.5174
2380,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,8,2018,2397697.501
2381,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,3,2019,1950772.8993
2382,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,3,2021,100515.4865
2383,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,12,2020,3473760.3651
2384,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,8,2018,11237.0006
2385,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,2,2020,3827995.1611
2386,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,2,2020,343212.2342
2387,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,9,2019,3502856.6433
2388,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,3,2020,91207.959
2389,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,4,2020,202827.0879
2390,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,8,2018,210998.5912
2391,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,6,2018,601975.0151
2392,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,12,2019,13872.5977
2393,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,1,2018,10902.3279
2394,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,11,2018,354256.063
2395,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,3,2020,29506.5416
2396,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,12,2020,275192.9352
2397,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,12,2018,11933.3068
2398,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,3,2019,8033.8882
2399,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2,2021,339778.5673
2400,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,8,2018,127005.7521
2401,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,5,2019,3616580.0665
2402,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,3,2019,3396814.6871
2403,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,11,2018,1007152.7554
2404,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,5,2019,102111.3487
2405,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,7,2019,986558.2428
2406,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,3,2018,3650463.4611
2407,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,3,2018,257889.1193
2408,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,12,2020,3832748.1834
2409,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,7,2018,8880.9077
2410,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,4,2020,10881018.1438
2411,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,4,2018,1845798.3603
2412,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,1,11,2020,1935.3584
2413,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,6,2020,350032.4502
2414,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,11,2020,4216958.4132
2415,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,1,2020,16017446.8898
2416,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,9,2018,64266.304
2417,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2,2021,3566061.2272
2418,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,8,2019,14110243.5611
2419,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,8,2020,1432491.3469
2420,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,1,2,2021,1451204.6632
2421,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,10,2019,2532393.5226
2422,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,6,2020,3928693.9678
2423,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,5,2019,290684.0713
2424,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2,2018,88449.97
2425,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,7,2018,3024489.9683
2426,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,2,2021,10018983.1581
2427,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,10,2018,19201.191
2428,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,12,2018,13913242.9277
2429,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,1,2020,426620.8594
2430,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,9,2020,516844.6661
2431,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,8,2018,11997.6859
2432,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,10,2018,3139987.3459
2433,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,6,2020,346702.2831
2434,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,2,2020,1027086.8572
2435,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,1,7,2020,1765.5
2436,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2,2021,60227.3454
2437,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,2,9,2020,247.0336
2438,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2,2018,341744.3351
2439,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2,2020,58420.1584
2440,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,9,2018,741582.8668
2441,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,9,2019,21362.7709
2442,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2,2021,3874319.0316
2443,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,12,2019,3915679.5916
2444,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,7,2018,3735737.8991
2445,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,10,2019,3970823.7475
2446,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,9,2020,1322862.9464
2447,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,4,2019,49686.9617
2448,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,4,2018,186692.0693
2449,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,11,2020,1383314.8839
2450,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,5,2019,2385380.9842
2451,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,9,2018,2365029.4255
2452,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,6,2020,3725551.6521
2453,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,3,2019,4446485.8688
2454,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,4,2020,684595.7337
2455,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,3,2018,59630.9607
2456,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,7,2018,225129.3509
2457,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,11,2018,1917928.6848
2458,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,11,2020,365322.5997
2459,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,8,2018,48925.7118
2460,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,2,2019,848014.6285
2461,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,11,2018,10451.6845
2462,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,4,2020,12802571.7954
2463,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,8,2020,1921554.4228
2464,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,1,2019,919429.63
2465,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,7,2018,3137070.4975
2466,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2,2018,2540619.8634
2467,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,9,2018,794264.7413
2468,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,1,2020,994069.5262
2469,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,4,2018,1718324.5288
2470,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,3,2020,540864.7245
2471,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,3,2019,635505.6496
2472,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2,2018,848497.9608
2473,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,1,2021,48852.1424
2474,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,9,2019,80934.8212
2475,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,3,2019,8699416.2278
2476,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,3,2020,146434.2618
2477,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,9,2018,6295450.4684
2478,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2,2021,3941385.8507
2479,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,1,2018,60729.2235
2480,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2,2019,106485.5746
2481,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,6,2020,-19.32
2482,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,11,2020,10602818.3662
2483,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,7,2018,5910371.7076
2484,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,5,2019,1072687.9493
2485,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,3,2020,2822497.7763
2486,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,2,2021,138.92
2487,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,9,2018,968779.0535
2488,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,2,2018,225183.5679
2489,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,1,2018,356750.7627
2490,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,9,2020,431453.0258
2491,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,1,4,2020,49.2
2492,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,8,2020,2967672.6723
2493,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,10,2019,1412685.879
2494,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,6,2020,7568.8207
2495,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2,2021,680945.498
2496,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,1,2020,397046.9067
2497,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,11,2020,8556273.7675
2498,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,8,2020,4115440.4975
2499,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2,2021,11806.7193
2500,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,1,2019,11052835.8015
2501,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,8,2020,883466.7296
2502,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,12,2018,481112.1443
2503,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,12,2020,1375091.2126
2504,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,2,1,2021,123355.432
2505,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,10,2018,13235169.2592
2506,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,3,2019,10031.1954
2507,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,1,2020,6462.862
2508,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,8,2018,135781.7406
2509,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,3,2018,242906.8777
2510,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,12,2020,1203037.4653
2511,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,4,2020,12656549.4952
2512,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,1,2021,188741.1182
2513,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,7,2018,528835.1316
2514,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,5,2020,120582.2947
2515,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,4,2019,2370489.6342
2516,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,8,2018,2157212.0921
2517,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,11,2020,151747.9684
2518,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,4,2019,173560.0853
2519,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,11,2019,12659.9961
2520,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,4,2019,727325.781
2521,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,12,2019,385463.5596
2522,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,2,2019,1931574.4514
2523,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,12,2017,44511.18
2524,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,7,2019,62559.5622
2525,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,1,2018,10805.4228
2526,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,1,2019,695470.5106
2527,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,1,2019,386852.1264
2528,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,7,2020,10119.7206
2529,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,6,2018,130063.0371
2530,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,8,2018,621092.1186
2531,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,12,2018,14555671.6199
2532,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,10,2020,504248.5626
2533,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,8,2019,16319913.6833
2534,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2,2020,14459.5001
2535,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,6,2019,26945.7886
2536,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,3,2019,2451003.2177
2537,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,11,2020,835088.1111
2538,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,3,2021,10445.0258
2539,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,11,2020,1959819.4611
2540,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,1,2018,27824.5358
2541,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,3,2020,14633.8442
2542,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2,2019,659060.7879
2543,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,6,2020,8921.8974
2544,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,7,2019,17724.7956
2545,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,3,2019,170283.716
2546,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2,2018,22008.5669
2547,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,12,2020,2590.42
2548,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,1,2018,4989548.7353
2549,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,5,2020,349664.5684
2550,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,8,2020,120687.2365
2551,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,7,2018,2104749.1689
2552,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,1,2021,21240.4834
2553,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,8,2019,134781.6179
2554,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,5,2020,13202578.2564
2555,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,9,2019,468935.091
2556,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,3,2020,30471.9126
2557,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2,2020,133838.2092
2558,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,12,2019,79951.9267
2559,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,7,2018,168757.082
2560,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,10,2019,19167.871
2561,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,4,2019,83550.8912
2562,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,12,2018,97942.412
2563,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,1,2021,17328262.3333
2564,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,4,2019,19050.5113
2565,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,3,2020,968988.6746
2566,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,8,2018,5209704.1
2567,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2,2021,134829.2193
2568,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,3,2019,3270651.797
2569,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,3,2019,856790.1642
2570,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,6,2020,114748.9881
2571,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,6,2019,13295028.8682
2572,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2,2018,136576.4598
2573,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,4,2019,8017884.2085
2574,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2,2019,203667.1536
2575,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,1,2020,3595845.5543
2576,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,10,2020,1437698.5781
2577,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,11,2018,389171.9715
2578,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2,2021,6511111.5331
2579,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,8,2018,26170.8017
2580,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,7,2018,31850.0571
2581,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,3,2020,2301498.4488
2582,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,3,2020,188158.5529
2583,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,1,2021,113203.423
2584,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,4,2018,1788571.1425
2585,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,9,2020,1203238.8984
2586,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,7,2020,12698329.0676
2587,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,12,2018,3878.2031
2588,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,12,2019,307062.216
2589,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,3,2021,10134699.1626
2590,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,10,2018,626281.701
2591,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,1,2021,4667423.6473
2592,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,7,2019,2906053.6102
2593,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,6,2019,10847659.7194
2594,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2,2020,98866.9425
2595,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,11,2018,2142234.3893
2596,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,4,2018,8834.8664
2597,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,8,2019,14651.4106
2598,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,7,2019,141420.8875
2599,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2,2021,7585.261
2600,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,1,2,2021,4199.5097
2601,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,1,2018,63554.7291
2602,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,2,10,2020,169463.6514
2603,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,1,10,2020,5538.9718
2604,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,5,2018,330795.1452
2605,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,4,2020,3600.4162
2606,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,3,2018,262679.3637
2607,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,6,2019,80064.3882
2608,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,11,2019,560656.8807
2609,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,11,2019,15478462.7934
2610,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,1,12,2020,1693.0531
2611,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,12,2019,582141.0714
2612,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,3,2019,37932.6098
2613,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,10,2020,448309.3499
2614,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,2,2019,9240.1476
2615,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,4,2019,28079.8086
2616,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,8,2020,56846.0376
2617,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,6,2020,1006730.0252
2618,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,5,2019,437529.7012
2619,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,1,2019,304039.3685
