,Region,Categoria,Marca,Segmento,MONTH,YEAR,VSIGV
591,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,7,2020,-2.74
592,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,4,2020,49.2
593,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,7,2018,96209.398
594,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,12,2018,140356.1939
595,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,10,2020,278288.0981
596,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,1,2021,3665096.7977
597,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,11,2020,917710.2213
598,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,3,2018,5576034.6639
599,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,11,2019,194224.2152
600,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,7,2020,320403.8919
601,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,5,2018,524265.2362
602,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,5,2018,249043.0366
603,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,2018,24624.5758
604,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,9,2018,405938.1496
605,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,11,2019,231112.1628
606,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,6,2019,143723.2459
607,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,2021,2552.49
608,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,3,2020,645356.0684
609,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,11,2018,41513.4042
610,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,9,2020,1939449.7205
611,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,4,2020,41.48
612,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2019,14580809.4731
613,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,10,2018,65695.7439
614,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2019,1001059.6414
615,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,8,2019,197616.8855
616,NORTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,3,2021,38217.5634
617,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,8,2018,652188.8761
618,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,4,2019,831693.7417
619,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,2020,8011271.9208
620,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,2018,242395.2225
621,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2019,13002625.2318
622,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,11,2020,3954580.4635
623,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,8,2019,1070892.2228
624,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,12,2018,481811.3606
625,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2018,18089.4937
626,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,5,2020,120912.9653
627,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,12,2018,194981.6094
628,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,9,2019,173356.5293
629,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,2,2018,5034522.8509
630,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,6,2020,240749.7965
631,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2020,22840.7699
632,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,3,2019,5643163.1013
633,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,10,2019,632215.3668
634,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2017,27.3
635,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,2021,450754.9883
636,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,3,2020,256687.3715
637,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,12,2019,1330616.2321
638,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,7,2019,853007.3431
639,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2020,16763836.796
640,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,11,2018,461645.7519
641,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,9,2018,150335.2395
642,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,8,2020,192546.4167
643,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2019,166616.0215
644,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,3,2021,1406.61
645,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,4,2019,341923.2261
646,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,7,2020,870038.6083
647,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,9,2020,18881.8168
648,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,5,2020,207874.645
649,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,2021,83459.7115
650,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,8,2019,23592884.3354
651,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,9,2019,193642.4772
652,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,12,2018,17726841.1175
653,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,3,2018,81833.5424
654,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,10,2020,27402.21
655,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,2020,786203.2389
656,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,10,2019,2889936.7214
657,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,11,2019,3309464.8524
658,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,5,2019,618391.6016
659,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2021,458745.4282
660,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2018,42207.9102
661,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2018,27407.0947
662,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,2018,505495.8435
663,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,5,2020,83942.1287
664,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,6,2020,1850603.4995
665,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,7,2018,1950006.9224
666,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,3,2019,3304886.4962
667,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,11,2018,23822694.7226
668,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,11,2020,2596939.758
669,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,10,2020,9394.3966
670,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,4,2019,3570703.2427
671,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,6,2018,351674.2013
672,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,7,2020,3438615.4789
673,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,3,2021,3646167.3777
674,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,2019,4252550.9437
675,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2021,397310.6778
676,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,11,2018,1802767.3252
677,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2020,206276.3671
678,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2019,128399.5832
679,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,9,2018,13082945.6528
680,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,10,2018,82419.721
681,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,7,2020,33264.62
682,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,7,2019,2893185.8073
683,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,6,2019,715063.0264
684,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,2020,32117.1452
685,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,2,2019,519824.5103
686,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,9,2018,1394269.05
687,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,11,2019,53893.8593
688,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,2020,739094.939
689,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,12,2018,3904130.4968
690,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2018,322694.3362
691,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,1,2021,5068.2911
692,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2018,1884828.5363
693,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2021,93985.7377
694,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2021,894591.3666
695,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,1,2019,4265105.8345
696,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,5,2018,1903607.6738
697,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,2021,2859384.8197
698,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,8,2019,1393112.8826
699,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,4,2020,1705943.2252
700,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,2018,1387417.6387
701,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2020,18773422.0404
702,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,3,2021,54139.838
703,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2018,1102226.6997
704,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,3,2019,148246.8759
705,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,3,2019,648202.5299
706,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2020,29801692.2671
707,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2018,76420.2178
708,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,3,2019,35239.0044
709,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,6,2018,538451.1735
710,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,3,2018,350073.4174
711,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,7,2018,66770.2475
712,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,7,2018,583843.1503
713,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2019,228591.2882
714,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2020,231586.1075
715,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,11,2019,25757964.8167
716,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,3,2018,454083.9894
717,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,11,2019,576079.1883
718,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,10,2018,689633.295
719,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2021,83173.9103
720,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,10,2018,77486.4405
721,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,7,2020,1471455.8657
722,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2019,6414056.98
723,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2019,657593.9039
724,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,6,2020,701081.7662
725,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,12,2020,6769784.7747
726,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,6,2019,738615.8576
727,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,10,2018,175618.2807
728,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2018,653806.21
729,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,9,2020,3375.2008
730,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,3,2021,1557704.4669
731,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2019,7822362.9131
732,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,6,2020,143448.7175
733,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2021,91199.1833
734,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,10,2019,1148317.0798
735,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,5,2020,46671.2291
736,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,6,2020,1163938.26
737,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2018,98653.427
738,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,8,2018,4562132.4045
739,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,5,2018,5663923.3138
740,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2019,167712.8121
741,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,6,2020,7723664.5585
742,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,8,2019,629936.7442
743,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,11,2020,285710.8785
744,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2021,1645073.5492
745,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,11,2020,80490.7856
746,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2021,702715.8693
747,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,7,2018,59613.0633
748,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,12,2018,487413.3848
749,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2018,17668279.027
750,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,2021,1582.1459
751,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,9,2020,778909.446
752,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,6,2020,7123962.9084
753,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2018,2667512.4447
754,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,2021,6908322.4187
755,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,5,2020,146541.0154
756,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,7,2018,151513.0936
757,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,9,2019,814937.6201
758,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,7,2019,5996793.7782
759,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2018,392648.4195
760,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,10,2020,39726.4229
761,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,6,2020,856.98
762,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,7,2019,1179837.1566
763,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,6,2019,92782.0422
764,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,3,2020,1187804.7262
765,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2019,148570.652
766,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,5,2018,123143.1339
767,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,4,2020,988424.815
768,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,5,2020,1875634.3371
769,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,11,2018,3722206.7529
770,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,2018,4122583.8325
771,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,5,2018,423085.2707
772,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,11,2018,859485.4404
773,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,8,2020,303464.4656
774,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,9,2018,384844.136
775,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,5,2019,590222.0325
776,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,4,2021,21320.0543
777,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,3,2021,278139.159
778,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,9,2020,1482540.9495
779,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,11,2019,95115.2783
780,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,7,2020,178535.1689
781,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,9,2020,279068.7741
782,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,7,2018,529418.1128
783,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,12,2018,470898.4095
784,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2019,457035.0901
785,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,4,2019,682220.2876
786,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,5,2018,129195.2149
787,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2019,24398491.9915
788,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,8,2020,267308.8046
789,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2019,93630.8445
790,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,4,2018,347663.7051
791,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2020,461578.33
792,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,12,2019,44348.0961
793,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,11,2019,9178.6427
794,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,10,2019,2100604.1793
795,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,8,2019,4107931.5163
796,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,7,2020,7601.4061
797,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,4,2020,1038958.7922
798,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,9,2019,60951.1045
799,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2020,648986.4285
800,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,9,2020,276965.516
801,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,4,2021,19722.7906
802,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,7,2019,711605.5702
803,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,3,2019,1047571.8937
804,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,8,2019,697102.7954
805,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,12,2019,288671.7772
806,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,8,2019,139662.8264
807,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,4,2020,41707.5768
808,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,2020,4684329.5149
809,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2019,446644.5518
810,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,3,2021,437425.1579
811,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,9,2019,605446.3391
812,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2020,276361.4956
813,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,12,2018,94234.7338
814,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,3,2018,82641.9272
815,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,1,2019,601962.9283
816,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,5,2018,242024.7634
817,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,11,2018,21686708.5118
818,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,7,2018,441559.724
819,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,10,2018,49179.2359
820,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,5,2020,220349.8314
821,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,2018,336575.2967
822,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,10,2019,247888.4809
823,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,5,2019,4441341.5738
824,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2018,505247.4788
825,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,12,2020,568725.8016
826,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,12,2018,13291.8641
827,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2020,1114186.9576
828,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,8,2018,532175.9205
829,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,12,2017,18182.25
830,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,2021,407694.9428
831,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,7,2020,2325236.493
832,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2019,566283.7003
833,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,11,2019,822233.0339
834,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,8,2019,9708.9232
835,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,9,2018,4073993.3155
836,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2021,70939.7848
837,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,4,2018,307306.883
838,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,6,2019,593954.8135
839,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2020,211358.7755
840,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,9,2018,67107.9155
841,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,9,2020,4188412.535
842,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,1,2018,1839766.6277
843,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,3,2021,9344021.7868
844,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,4,2020,66377.3235
845,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,5,2018,563990.9484
846,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,3,2020,1296975.4369
847,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,5,2018,15463696.3163
848,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,9,2020,27703439.6688
849,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,7,2019,1404687.1627
850,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,12,2018,389337.8225
851,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2018,1690535.482
852,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,8,2019,651405.2099
853,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,2019,1323044.5458
854,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,10,2020,6249169.3744
855,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,3,2018,508225.4046
856,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2020,9048423.2085
857,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,8,2018,5190926.4508
858,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,6,2018,550393.2222
859,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,9,2018,116906.3349
860,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,12,2020,3759048.232
861,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2019,2549638.9757
862,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2020,2924653.1153
863,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2018,436178.4699
864,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2018,7131628.0141
865,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2018,196826.0152
866,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2019,7886431.7134
867,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,12,2018,12012.6894
868,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,4,2020,9598097.9422
869,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,2019,526272.7351
870,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2018,113389.8249
871,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,2021,3305029.0104
872,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,6,2020,3131221.4578
873,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2021,87008.502
874,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2021,317188.0289
875,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,7,2020,137173.9712
876,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,2018,370458.8718
877,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,3,2021,1064339.975
878,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,6,2020,28130533.8033
879,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2019,1670348.952
880,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2019,21475408.1222
881,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2019,623906.904
882,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,8,2018,1238548.8715
